ID,PRECIO,CAPACIDAD,DTYPE
100219,8026,3,HOTELROOM
100220,975,6,HOTELROOM
100221,2904,4,HOTELROOM
100222,4540,8,HOTELROOM
100223,9367,5,HOTELROOM
100224,9648,10,HOTELROOM
100225,1640,9,HOTELROOM
100226,7018,2,HOTELROOM
100227,4727,10,HOTELROOM
100228,3329,4,HOTELROOM
100229,1396,10,HOTELROOM
100230,1528,9,HOTELROOM
100231,4749,6,HOTELROOM
100232,4229,7,HOTELROOM
100233,7507,5,HOTELROOM
100234,1378,7,HOTELROOM
100235,4025,1,HOTELROOM
100236,5027,10,HOTELROOM
100237,1484,7,HOTELROOM
100238,7649,2,HOTELROOM
100239,5764,8,HOTELROOM
100240,9416,2,HOTELROOM
100241,3068,1,HOTELROOM
100242,3058,6,HOTELROOM
100243,2565,2,HOTELROOM
100244,4758,8,HOTELROOM
100245,7412,8,HOTELROOM
100246,1471,5,HOTELROOM
100247,657,8,HOTELROOM
100248,2361,2,HOTELROOM
100249,3067,4,HOTELROOM
100250,1258,6,HOTELROOM
100251,8212,6,HOTELROOM
100252,4179,9,HOTELROOM
100253,8872,8,HOTELROOM
100254,6587,2,HOTELROOM
100255,7803,6,HOTELROOM
100256,4231,3,HOTELROOM
100257,5183,9,HOTELROOM
100258,171,5,HOTELROOM
100259,1601,6,HOTELROOM
100260,8826,8,HOTELROOM
100261,9403,10,HOTELROOM
100262,2164,4,HOTELROOM
100263,6415,8,HOTELROOM
100264,4024,6,HOTELROOM
100265,6347,10,HOTELROOM
100266,4479,7,HOTELROOM
100267,9425,1,HOTELROOM
100268,8788,3,HOTELROOM
100269,8008,9,HOTELROOM
100270,2546,3,HOTELROOM
100271,5109,8,HOTELROOM
100272,556,7,HOTELROOM
100273,4704,9,HOTELROOM
100274,7684,9,HOTELROOM
100275,1905,7,HOTELROOM
100276,6622,6,HOTELROOM
100277,146,4,HOTELROOM
100278,5134,4,HOTELROOM
100279,2157,1,HOTELROOM
100280,3500,10,HOTELROOM
100281,9498,10,HOTELROOM
100282,3476,9,HOTELROOM
100283,4236,5,HOTELROOM
100284,8116,4,HOTELROOM
100285,3770,7,HOTELROOM
100286,2527,7,HOTELROOM
100287,9000,4,HOTELROOM
100288,9645,4,HOTELROOM
100289,4273,4,HOTELROOM
100290,2875,3,HOTELROOM
100291,290,10,HOTELROOM
100292,2048,8,HOTELROOM
100293,6728,6,HOTELROOM
100294,460,5,HOTELROOM
100295,7961,8,HOTELROOM
100296,7482,1,HOTELROOM
100297,8039,10,HOTELROOM
100298,9010,5,HOTELROOM
100299,4773,3,HOTELROOM
100300,1033,4,HOTELROOM
100301,6903,1,HOTELROOM
100302,310,5,HOTELROOM
100303,5416,7,HOTELROOM
100304,1927,3,HOTELROOM
100305,2871,2,HOTELROOM
100306,9516,5,HOTELROOM
100307,8053,6,HOTELROOM
100308,2357,6,HOTELROOM
100309,7126,4,HOTELROOM
100310,3556,2,HOTELROOM
100311,7584,6,HOTELROOM
100312,1522,1,HOTELROOM
100313,5127,3,HOTELROOM
100314,9082,3,HOTELROOM
100315,5708,5,HOTELROOM
100316,6628,2,HOTELROOM
100317,6533,4,HOTELROOM
100318,5923,9,HOTELROOM
100319,5849,6,HOTELROOM
100320,3571,5,HOTELROOM
100321,6165,4,HOTELROOM
100322,4488,6,HOTELROOM
100323,5097,7,HOTELROOM
100324,1551,1,HOTELROOM
100325,5458,3,HOTELROOM
100326,9225,8,HOTELROOM
100327,8154,1,HOTELROOM
100328,6778,6,HOTELROOM
100329,6993,9,HOTELROOM
100330,3135,1,HOTELROOM
100331,973,1,HOTELROOM
100332,5270,7,HOTELROOM
100333,949,7,HOTELROOM
100334,8600,5,HOTELROOM
100335,9980,4,HOTELROOM
100336,8210,2,HOTELROOM
100337,2529,7,HOTELROOM
100338,8233,5,HOTELROOM
100339,7055,5,HOTELROOM
100340,6147,5,HOTELROOM
100341,779,5,HOTELROOM
100342,2427,8,HOTELROOM
100343,3698,7,HOTELROOM
100344,3723,2,HOTELROOM
100345,4212,1,HOTELROOM
100346,4820,2,HOTELROOM
100347,8888,9,HOTELROOM
100348,1592,9,HOTELROOM
100349,5405,7,HOTELROOM
100350,9991,3,HOTELROOM
100351,8146,10,HOTELROOM
100352,7311,4,HOTELROOM
100353,7721,4,HOTELROOM
100354,8513,10,HOTELROOM
100355,5726,10,HOTELROOM
100356,1505,5,HOTELROOM
100357,9673,1,HOTELROOM
100358,2683,8,HOTELROOM
100359,8651,8,HOTELROOM
100360,7538,10,HOTELROOM
100361,3225,6,HOTELROOM
100362,4736,8,HOTELROOM
100363,4384,5,HOTELROOM
100364,8842,1,HOTELROOM
100365,7237,7,HOTELROOM
100366,9474,9,HOTELROOM
100367,3544,9,HOTELROOM
100368,295,7,HOTELROOM
100369,7437,9,HOTELROOM
100370,613,4,HOTELROOM
100371,5654,6,HOTELROOM
100372,7832,2,HOTELROOM
100373,6120,1,HOTELROOM
100374,3492,7,HOTELROOM
100375,1995,9,HOTELROOM
100376,753,10,HOTELROOM
100377,3541,7,HOTELROOM
100378,8754,7,HOTELROOM
100379,9634,8,HOTELROOM
100380,7311,6,HOTELROOM
100381,8238,6,HOTELROOM
100382,5039,5,HOTELROOM
100383,6867,5,HOTELROOM
100384,8257,9,HOTELROOM
100385,7642,3,HOTELROOM
100386,3321,4,HOTELROOM
100387,5567,1,HOTELROOM
100388,8819,10,HOTELROOM
100389,5252,8,HOTELROOM
100390,6264,1,HOTELROOM
100391,1022,2,HOTELROOM
100392,7187,7,HOTELROOM
100393,5685,1,HOTELROOM
100394,3111,1,HOTELROOM
100395,6024,9,HOTELROOM
100396,1510,4,HOTELROOM
100397,2380,9,HOTELROOM
100398,2190,6,HOTELROOM
100399,2779,2,HOTELROOM
100400,281,9,HOTELROOM
100401,8831,4,HOTELROOM
100402,5974,5,HOTELROOM
100403,6299,10,HOTELROOM
100404,1886,7,HOTELROOM
100405,5474,4,HOTELROOM
100406,2755,5,HOTELROOM
100407,3804,5,HOTELROOM
100408,7162,7,HOTELROOM
100409,6371,6,HOTELROOM
100410,9800,6,HOTELROOM
100411,9193,4,HOTELROOM
100412,3223,4,HOTELROOM
100413,1361,3,HOTELROOM
100414,2260,2,HOTELROOM
100415,4789,4,HOTELROOM
100416,9309,4,HOTELROOM
100417,2002,3,HOTELROOM
100418,4044,4,HOTELROOM
100419,468,3,HOTELROOM
100420,3693,6,HOTELROOM
100421,8729,4,HOTELROOM
100422,8731,10,HOTELROOM
100423,5219,3,HOTELROOM
100424,3581,3,HOTELROOM
100425,1683,5,HOTELROOM
100426,2770,3,HOTELROOM
100427,4755,3,HOTELROOM
100428,3818,8,HOTELROOM
100429,134,8,HOTELROOM
100430,4189,9,HOTELROOM
100431,2297,10,HOTELROOM
100432,8272,8,HOTELROOM
100433,2986,4,HOTELROOM
100434,453,7,HOTELROOM
100435,4000,9,HOTELROOM
100436,8424,1,HOTELROOM
100437,495,3,HOTELROOM
100438,4636,2,HOTELROOM
100439,8215,8,HOTELROOM
100440,342,9,HOTELROOM
100441,4111,5,HOTELROOM
100442,8568,7,HOTELROOM
100443,6111,9,HOTELROOM
100444,7646,9,HOTELROOM
100445,4469,7,HOTELROOM
100446,969,5,HOTELROOM
100447,2599,8,HOTELROOM
100448,6593,7,HOTELROOM
100449,7273,2,HOTELROOM
100450,9224,8,HOTELROOM
100451,923,8,HOTELROOM
100452,7643,7,HOTELROOM
100453,9825,8,HOTELROOM
100454,8256,7,HOTELROOM
100455,4922,7,HOTELROOM
100456,4637,9,HOTELROOM
100457,8729,4,HOTELROOM
100458,2656,7,HOTELROOM
100459,3343,4,HOTELROOM
100460,7298,3,HOTELROOM
100461,9017,7,HOTELROOM
100462,3193,2,HOTELROOM
100463,5957,1,HOTELROOM
100464,8790,10,HOTELROOM
100465,1523,5,HOTELROOM
100466,3852,9,HOTELROOM
100467,2229,2,HOTELROOM
100468,9707,1,HOTELROOM
100469,1061,5,HOTELROOM
100470,9178,10,HOTELROOM
100471,1126,5,HOTELROOM
100472,1040,3,HOTELROOM
100473,1955,2,HOTELROOM
100474,5556,1,HOTELROOM
100475,4589,1,HOTELROOM
100476,7802,3,HOTELROOM
100477,1858,5,HOTELROOM
100478,9380,10,HOTELROOM
100479,1794,7,HOTELROOM
100480,4058,3,HOTELROOM
100481,4150,1,HOTELROOM
100482,3155,5,HOTELROOM
100483,2089,2,HOTELROOM
100484,2353,1,HOTELROOM
100485,5607,5,HOTELROOM
100486,7751,1,HOTELROOM
100487,9541,1,HOTELROOM
100488,6704,9,HOTELROOM
100489,4910,7,HOTELROOM
100490,2280,8,HOTELROOM
100491,2991,2,HOTELROOM
100492,9157,7,HOTELROOM
100493,2985,3,HOTELROOM
100494,5608,4,HOTELROOM
100495,3742,3,HOTELROOM
100496,6222,8,HOTELROOM
100497,6933,1,HOTELROOM
100498,1180,1,HOTELROOM
100499,4385,8,HOTELROOM
100500,9531,4,HOTELROOM
100501,1590,8,HOTELROOM
100502,4129,8,HOTELROOM
100503,6468,7,HOTELROOM
100504,4453,1,HOTELROOM
100505,9775,9,HOTELROOM
100506,7888,6,HOTELROOM
100507,9489,5,HOTELROOM
100508,8539,3,HOTELROOM
100509,1991,6,HOTELROOM
100510,5914,3,HOTELROOM
100511,8414,8,HOTELROOM
100512,4610,3,HOTELROOM
100513,1918,10,HOTELROOM
100514,7482,7,HOTELROOM
100515,3154,3,HOTELROOM
100516,8983,1,HOTELROOM
100517,4317,3,HOTELROOM
100518,1338,5,HOTELROOM
100519,1242,1,HOTELROOM
100520,195,5,HOTELROOM
100521,3678,1,HOTELROOM
100522,8659,4,HOTELROOM
100523,2972,10,HOTELROOM
100524,5787,1,HOTELROOM
100525,5338,5,HOTELROOM
100526,3465,10,HOTELROOM
100527,8469,5,HOTELROOM
100528,5797,2,HOTELROOM
100529,8354,8,HOTELROOM
100530,5617,1,HOTELROOM
100531,100,8,HOTELROOM
100532,8124,7,HOTELROOM
100533,2019,2,HOTELROOM
100534,1820,1,HOTELROOM
100535,4743,6,HOTELROOM
100536,873,7,HOTELROOM
100537,9762,8,HOTELROOM
100538,8196,9,HOTELROOM
100539,2628,3,HOTELROOM
100540,6689,9,HOTELROOM
100541,8083,1,HOTELROOM
100542,3567,8,HOTELROOM
100543,6860,2,HOTELROOM
100544,6534,9,HOTELROOM
100545,7163,3,HOTELROOM
100546,3485,6,HOTELROOM
100547,195,6,HOTELROOM
100548,8820,3,HOTELROOM
100549,6616,7,HOTELROOM
100550,3876,10,HOTELROOM
100551,5890,2,HOTELROOM
100552,2017,5,HOTELROOM
100553,7824,7,HOTELROOM
100554,1889,10,HOTELROOM
100555,7020,6,HOTELROOM
100556,3167,8,HOTELROOM
100557,7548,3,HOTELROOM
100558,7903,3,HOTELROOM
100559,3990,2,HOTELROOM
100560,877,8,HOTELROOM
100561,4340,6,HOTELROOM
100562,8710,2,HOTELROOM
100563,4924,5,HOTELROOM
100564,1933,3,HOTELROOM
100565,2739,10,HOTELROOM
100566,4848,7,HOTELROOM
100567,5854,6,HOTELROOM
100568,5102,8,HOTELROOM
100569,562,9,HOTELROOM
100570,347,10,HOTELROOM
100571,9780,8,HOTELROOM
100572,729,7,HOTELROOM
100573,2696,5,HOTELROOM
100574,3233,9,HOTELROOM
100575,3680,8,HOTELROOM
100576,8501,4,HOTELROOM
100577,1797,2,HOTELROOM
100578,2760,6,HOTELROOM
100579,9261,6,HOTELROOM
100580,1467,3,HOTELROOM
100581,9743,7,HOTELROOM
100582,717,8,HOTELROOM
100583,8836,2,HOTELROOM
100584,7986,5,HOTELROOM
100585,1321,4,HOTELROOM
100586,5941,4,HOTELROOM
100587,2415,2,HOTELROOM
100588,5802,8,HOTELROOM
100589,7099,1,HOTELROOM
100590,2244,10,HOTELROOM
100591,9354,1,HOTELROOM
100592,6983,4,HOTELROOM
100593,5432,6,HOTELROOM
100594,8683,6,HOTELROOM
100595,8425,1,HOTELROOM
100596,4918,1,HOTELROOM
100597,3264,9,HOTELROOM
100598,455,4,HOTELROOM
100599,9570,8,HOTELROOM
100600,9233,7,HOTELROOM
100601,3507,5,HOTELROOM
100602,4250,9,HOTELROOM
100603,5657,9,HOTELROOM
100604,4813,5,HOTELROOM
100605,9856,9,HOTELROOM
100606,3059,8,HOTELROOM
100607,6999,1,HOTELROOM
100608,9113,10,HOTELROOM
100609,4059,10,HOTELROOM
100610,2013,5,HOTELROOM
100611,7891,5,HOTELROOM
100612,8433,9,HOTELROOM
100613,9971,4,HOTELROOM
100614,3244,4,HOTELROOM
100615,427,4,HOTELROOM
100616,3081,4,HOTELROOM
100617,7613,9,HOTELROOM
100618,142,10,HOTELROOM
100619,7594,2,HOTELROOM
100620,6346,1,HOTELROOM
100621,8484,6,HOTELROOM
100622,9571,1,HOTELROOM
100623,9074,8,HOTELROOM
100624,3934,6,HOTELROOM
100625,4921,3,HOTELROOM
100626,6912,10,HOTELROOM
100627,8543,2,HOTELROOM
100628,2906,1,HOTELROOM
100629,604,10,HOTELROOM
100630,9023,2,HOTELROOM
100631,6005,7,HOTELROOM
100632,7985,3,HOTELROOM
100633,3557,2,HOTELROOM
100634,9602,4,HOTELROOM
100635,3989,2,HOTELROOM
100636,4247,5,HOTELROOM
100637,7558,8,HOTELROOM
100638,9928,4,HOTELROOM
100639,2224,7,HOTELROOM
100640,8851,3,HOTELROOM
100641,1272,4,HOTELROOM
100642,1524,7,HOTELROOM
100643,5470,7,HOTELROOM
100644,3195,9,HOTELROOM
100645,1564,2,HOTELROOM
100646,3258,4,HOTELROOM
100647,4395,9,HOTELROOM
100648,8503,4,HOTELROOM
100649,7941,9,HOTELROOM
100650,4388,2,HOTELROOM
100651,4624,1,HOTELROOM
100652,1371,5,HOTELROOM
100653,6834,6,HOTELROOM
100654,5193,10,HOTELROOM
100655,211,1,HOTELROOM
100656,2799,3,HOTELROOM
100657,1707,4,HOTELROOM
100658,7773,9,HOTELROOM
100659,4075,9,HOTELROOM
100660,8931,9,HOTELROOM
100661,5474,4,HOTELROOM
100662,5127,6,HOTELROOM
100663,9576,6,HOTELROOM
100664,7181,10,HOTELROOM
100665,8669,4,HOTELROOM
100666,6185,7,HOTELROOM
100667,9891,3,HOTELROOM
100668,4994,4,HOTELROOM
100669,1360,4,HOTELROOM
100670,9614,8,HOTELROOM
100671,9789,6,HOTELROOM
100672,5563,6,HOTELROOM
100673,7297,5,HOTELROOM
100674,6031,6,HOTELROOM
100675,8940,2,HOTELROOM
100676,3059,6,HOTELROOM
100677,3342,7,HOTELROOM
100678,2987,7,HOTELROOM
100679,3750,2,HOTELROOM
100680,3125,5,HOTELROOM
100681,8658,9,HOTELROOM
100682,9697,1,HOTELROOM
100683,7495,9,HOTELROOM
100684,4475,3,HOTELROOM
100685,5179,4,HOTELROOM
100686,7030,2,HOTELROOM
100687,2304,2,HOTELROOM
100688,7350,4,HOTELROOM
100689,6083,2,HOTELROOM
100690,4899,10,HOTELROOM
100691,1229,5,HOTELROOM
100692,6069,3,HOTELROOM
100693,7613,9,HOTELROOM
100694,3587,7,HOTELROOM
100695,9993,4,HOTELROOM
100696,5529,6,HOTELROOM
100697,9606,5,HOTELROOM
100698,6704,5,HOTELROOM
100699,6488,2,HOTELROOM
100700,395,1,HOTELROOM
100701,5984,9,HOTELROOM
100702,8671,4,HOTELROOM
100703,4611,9,HOTELROOM
100704,9304,8,HOTELROOM
100705,1420,9,HOTELROOM
100706,7293,6,HOTELROOM
100707,4804,10,HOTELROOM
100708,1824,3,HOTELROOM
100709,9481,5,HOTELROOM
100710,1301,8,HOTELROOM
100711,6022,9,HOTELROOM
100712,1526,5,HOTELROOM
100713,8193,3,HOTELROOM
100714,348,7,HOTELROOM
100715,979,8,HOTELROOM
100716,6918,1,HOTELROOM
100717,4238,4,HOTELROOM
100718,9136,2,HOTELROOM
100719,1443,6,HOTELROOM
100720,8042,8,HOTELROOM
100721,3580,4,HOTELROOM
100722,7644,1,HOTELROOM
100723,2338,9,HOTELROOM
100724,8695,8,HOTELROOM
100725,3451,8,HOTELROOM
100726,6448,3,HOTELROOM
100727,4885,6,HOTELROOM
100728,9143,10,HOTELROOM
100729,6120,8,HOTELROOM
100730,1385,9,HOTELROOM
100731,9733,8,HOTELROOM
100732,3216,2,HOTELROOM
100733,6622,4,HOTELROOM
100734,559,2,HOTELROOM
100735,1011,3,HOTELROOM
100736,5475,7,HOTELROOM
100737,6298,2,HOTELROOM
100738,1690,4,HOTELROOM
100739,3808,5,HOTELROOM
100740,1871,5,HOTELROOM
100741,5505,7,HOTELROOM
100742,7248,7,HOTELROOM
100743,7842,6,HOTELROOM
100744,1397,7,HOTELROOM
100745,4478,3,HOTELROOM
100746,9981,5,HOTELROOM
100747,4781,9,HOTELROOM
100748,2955,7,HOTELROOM
100749,9468,10,HOTELROOM
100750,9785,4,HOTELROOM
100751,4292,10,HOTELROOM
100752,9621,1,HOTELROOM
100753,2776,10,HOTELROOM
100754,7832,10,HOTELROOM
100755,7379,3,HOTELROOM
100756,9736,10,HOTELROOM
100757,1080,9,HOTELROOM
100758,4354,4,HOTELROOM
100759,2030,2,HOTELROOM
100760,2466,2,HOTELROOM
100761,6876,8,HOTELROOM
100762,5903,5,HOTELROOM
100763,3770,4,HOTELROOM
100764,6100,9,HOTELROOM
100765,1982,9,HOTELROOM
100766,5181,9,HOTELROOM
100767,4093,8,HOTELROOM
100768,7728,1,HOTELROOM
100769,285,9,HOTELROOM
100770,307,6,HOTELROOM
100771,3842,9,HOTELROOM
100772,555,6,HOTELROOM
100773,984,9,HOTELROOM
100774,1392,6,HOTELROOM
100775,6402,3,HOTELROOM
100776,9600,4,HOTELROOM
100777,7180,3,HOTELROOM
100778,3541,5,HOTELROOM
100779,1806,3,HOTELROOM
100780,6651,2,HOTELROOM
100781,9563,2,HOTELROOM
100782,8581,2,HOTELROOM
100783,9506,9,HOTELROOM
100784,4608,1,HOTELROOM
100785,4048,6,HOTELROOM
100786,9541,9,HOTELROOM
100787,226,4,HOTELROOM
100788,1721,10,HOTELROOM
100789,5902,4,HOTELROOM
100790,7763,1,HOTELROOM
100791,9376,8,HOTELROOM
100792,1959,9,HOTELROOM
100793,8493,5,HOTELROOM
100794,968,9,HOTELROOM
100795,823,3,HOTELROOM
100796,8420,2,HOTELROOM
100797,5578,1,HOTELROOM
100798,461,6,HOTELROOM
100799,6530,10,HOTELROOM
100800,4484,7,HOTELROOM
100801,359,2,HOTELROOM
100802,8460,10,HOTELROOM
100803,8475,4,HOTELROOM
100804,1808,9,HOTELROOM
100805,8128,5,HOTELROOM
100806,3146,1,HOTELROOM
100807,4111,5,HOTELROOM
100808,4088,1,HOTELROOM
100809,8447,3,HOTELROOM
100810,230,6,HOTELROOM
100811,600,6,HOTELROOM
100812,2541,9,HOTELROOM
100813,5329,5,HOTELROOM
100814,9665,5,HOTELROOM
100815,4428,8,HOTELROOM
100816,4171,5,HOTELROOM
100817,568,8,HOTELROOM
100818,700,7,HOTELROOM
100819,8461,1,HOTELROOM
100820,2594,3,HOTELROOM
100821,5777,1,HOTELROOM
100822,1887,8,HOTELROOM
100823,996,1,HOTELROOM
100824,1086,7,HOTELROOM
100825,6849,6,HOTELROOM
100826,3946,7,HOTELROOM
100827,7548,1,HOTELROOM
100828,5947,8,HOTELROOM
100829,9866,6,HOTELROOM
100830,6647,4,HOTELROOM
100831,5774,2,HOTELROOM
100832,2424,1,HOTELROOM
100833,1168,9,HOTELROOM
100834,1162,2,HOTELROOM
100835,9042,6,HOTELROOM
100836,1119,9,HOTELROOM
100837,3195,8,HOTELROOM
100838,5819,3,HOTELROOM
100839,9824,7,HOTELROOM
100840,8925,6,HOTELROOM
100841,3497,10,HOTELROOM
100842,3493,10,HOTELROOM
100843,8792,4,HOTELROOM
100844,2080,6,HOTELROOM
100845,757,8,HOTELROOM
100846,6424,3,HOTELROOM
100847,5538,6,HOTELROOM
100848,1692,10,HOTELROOM
100849,2867,1,HOTELROOM
100850,5593,10,HOTELROOM
100851,7846,2,HOTELROOM
100852,9286,7,HOTELROOM
100853,6219,8,HOTELROOM
100854,394,7,HOTELROOM
100855,872,4,HOTELROOM
100856,3875,4,HOTELROOM
100857,3004,9,HOTELROOM
100858,4280,4,HOTELROOM
100859,5386,5,HOTELROOM
100860,7561,6,HOTELROOM
100861,1741,3,HOTELROOM
100862,8448,8,HOTELROOM
100863,8072,1,HOTELROOM
100864,7004,9,HOTELROOM
100865,9578,7,HOTELROOM
100866,8770,10,HOTELROOM
100867,9586,9,HOTELROOM
100868,6986,6,HOTELROOM
100869,2161,1,HOTELROOM
100870,2560,7,HOTELROOM
100871,6744,10,HOTELROOM
100872,7632,4,HOTELROOM
100873,8574,6,HOTELROOM
100874,3112,3,HOTELROOM
100875,9890,5,HOTELROOM
100876,7768,10,HOTELROOM
